,Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
0,01-01-2020,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,6000,120
1,02-01-2020,Men's Athletic Footwear,Northeast,Foot Locker,In-store,New York,50,5000,100
2,03-01-2020,Women's Street Footwear,Northeast,Foot Locker,In-store,New York,40,4000,100
3,04-01-2020,Women's Athletic Footwear,Northeast,Foot Locker,In-store,New York,45,3825,85
4,05-01-2020,Men's Apparel,Northeast,Foot Locker,In-store,New York,60,5400,90
5,06-01-2020,Women's Apparel,Northeast,Foot Locker,In-store,New York,50,5000,100
6,07-01-2020,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,6250,125
7,08-01-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
8,21-01-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3800,95
9,22-01-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3713,83
10,23-01-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5400,90
11,24-01-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,5000,100
12,25-01-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,6100,122
13,26-01-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
14,27-01-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3800,95
15,28-01-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3600,80
16,29-01-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5100,85
17,30-01-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,4750,95
18,31-01-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,6000,120
19,01-02-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
20,02-02-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3600,90
21,03-02-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3713,83
22,04-02-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,4950,83
23,05-02-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,4750,95
24,06-02-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7320,122
25,07-02-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5088,93
26,08-02-2020,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
27,09-02-2020,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4250,85
28,10-02-2020,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5250,88
29,03-03-2020,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,6500,100
30,04-03-2020,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7500,125
31,05-03-2020,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5500,100
